"gene_short_name" "term" "q_value" "estimate"
"1" "Rrs1" "genotypeWT" 6.155664e-66 0.2896024
"2" "3110035E14Rik" "genotypeWT" 9.925992e-117 -1.6189768
"3" "Snhg6" "genotypeWT" 0 0.81325
"4" "Prex2" "genotypeWT" 1.412648e-35 -1.6209544
"5" "Mcm3" "genotypeWT" 3.786845e-65 0.4286881
"6" "Myo1b" "genotypeWT" 1.64351e-45 0.615724
"7" "Hspd1" "genotypeWT" 3.5989e-166 0.2056182
"8" "Bzw1" "genotypeWT" 3.957702e-51 0.1516831
"9" "Rpe" "genotypeWT" 1.427265e-170 0.8204399
"10" "Acadl" "genotypeWT" 3.250943e-85 0.2744397
"11" "Rpl37a" "genotypeWT" 8.839298e-57 -0.0636747
"12" "Wdfy1" "genotypeWT" 0 1.830775
"13" "Ncl" "genotypeWT" 4.96438e-99 0.1971872
"14" "Ptma" "genotypeWT" 1.458952e-86 0.1824508
"15" "Hjurp" "genotypeWT" 1.36081e-91 0.5862683
"16" "Myeov2" "genotypeWT" 5.9946e-84 -0.1591218
"17" "Dbi" "genotypeWT" 8.2533e-54 -0.1105793
"18" "Mcm6" "genotypeWT" 1.1811536e-37 0.3243655
"19" "Tagln2" "genotypeWT" 4.94433e-64 0.3082975
"20" "Hnrnpu" "genotypeWT" 7.114872e-36 0.1377732
"21" "Set" "genotypeWT" 1.272359e-78 0.1597364
"22" "Rpl35" "genotypeWT" 1.57099e-90 -0.1348507
"23" "Hat1" "genotypeWT" 1.680168e-45 0.2697133
"24" "Ssrp1" "genotypeWT" 4.322565e-58 0.2121357
"25" "Trp53i11" "genotypeWT" 1.649835e-39 0.4912068
"26" "Usp50" "genotypeWT" 1.496696e-46 -0.3077253
"27" "Cst3" "genotypeWT" 1.1623428e-44 -0.237317
"28" "Dynlrb1" "genotypeWT" 8.884947e-51 -0.1145445
"29" "Scand1" "genotypeWT" 2.641705e-50 -0.1857495
"30" "Serinc3" "genotypeWT" 2.63504e-44 0.3879406
"31" "Atp5e" "genotypeWT" 3.210564e-120 -0.1803725
"32" "Rps21" "genotypeWT" 3.428152e-97 -0.1069023
"33" "Pcsk1n" "genotypeWT" 3.922105e-52 -0.3156209
