"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0003697"	"GO:0003697"	"single-stranded DNA binding"	"11/142"	"109/22669"	8.94870057614803e-11	3.34681401547936e-08	2.69402985766141e-08	"Mcm3/Ncl/Mcm6/Hnrnpu/Mcm7/Cnbp/Mcm2/Ptbp1/Alyref/Hnrnpk/Mcm4"	11
"GO:0003729"	"GO:0003729"	"mRNA binding"	"16/142"	"345/22669"	5.61404556209685e-10	1.04982652011211e-07	8.45061595136684e-08	"Ncl/Hnrnpu/Exosc9/Exosc8/Serbp1/Cnbp/Snrnp70/Eif4g2/Ptbp1/Pkm/Rbpms2/G3bp1/Hnrnpk/Cct5/Rsl1d1/Srsf3"	16
"GO:0042393"	"GO:0042393"	"histone binding"	"14/142"	"265/22669"	1.33634334909404e-09	1.66597470853723e-07	1.34103227312595e-07	"Ncl/Ptma/Hjurp/Set/Hat1/Ssrp1/Cks1b/Anp32e/Anp32b/Nasp/Mcm2/Nap1l1/Smarcc1/Npm1"	14
"GO:0051082"	"GO:0051082"	"unfolded protein binding"	"9/142"	"84/22669"	2.8419334163893e-09	2.65720774432399e-07	2.13892883444036e-07	"Cct3/Cct7/Hspa8/Cct4/Npm1/Cct5/Cct8/Tcp1/Hspa9"	9
"GO:0003688"	"GO:0003688"	"DNA replication origin binding"	"5/142"	"22/22669"	2.17181775750018e-07	1.62451968261014e-05	1.30766290241064e-05	"Mcm3/Mcm6/Mcm7/Mcm2/Mcm4"	5
"GO:0031625"	"GO:0031625"	"ubiquitin protein ligase binding"	"12/142"	"306/22669"	5.37942382675095e-07	3.35317418534143e-05	2.69914949903644e-05	"Hspd1/Mid1/Vcp/Trim28/Pa2g4/Hspa8/Actg1/Rangap1/Tuba1b/Tcp1/Tubb5/Hspa9"	12
"GO:0044389"	"GO:0044389"	"ubiquitin-like protein ligase binding"	"12/142"	"324/22669"	9.8259616419951e-07	5.24987093443738e-05	4.22590230016631e-05	"Hspd1/Mid1/Vcp/Trim28/Pa2g4/Hspa8/Actg1/Rangap1/Tuba1b/Tcp1/Tubb5/Hspa9"	12
"GO:0003730"	"GO:0003730"	"mRNA 3'-UTR binding"	"7/142"	"98/22669"	2.80556771183331e-06	0.000131160290528207	0.000105577942840043	"Hnrnpu/Exosc9/Exosc8/Serbp1/Hnrnpk/Cct5/Rsl1d1"	7
"GO:0043021"	"GO:0043021"	"ribonucleoprotein complex binding"	"8/142"	"146/22669"	3.95858170598386e-06	0.000164501062004218	0.000132415715545191	"Hnrnpu/Eif4h/Prmt1/Snrnp70/Eef2/Npm1/Eif5a/Hnrnpk"	8
"GO:0019843"	"GO:0019843"	"rRNA binding"	"6/142"	"72/22669"	6.04312870004973e-06	0.00022601301338186	0.000181929979812023	"Rrs1/Ncl/Emg1/Eef2/Npm1/Rpl3"	6
"GO:0008135"	"GO:0008135"	"translation factor activity, RNA binding"	"6/142"	"76/22669"	8.28411865153674e-06	0.000281660034152249	0.000226723247305216	"Eif4h/Eif4g2/Eef2/Eif4a1/Eif5a/Eif5"	6
"GO:0016887"	"GO:0016887"	"ATPase activity"	"12/142"	"404/22669"	9.45205241667762e-06	0.000294588966986452	0.000237130437821912	"Mcm3/Myo1b/Mcm6/Vcp/Mcm7/Mcm2/Hspa8/Myo6/G3bp1/Eif4a1/Mcm4/Hspa9"	12
"GO:0045182"	"GO:0045182"	"translation regulator activity"	"7/142"	"127/22669"	1.55848914282804e-05	0.000422754505839846	0.000340297744638885	"Eif4h/Cnbp/Eif4g2/Eef2/Eif4a1/Eif5a/Eif5"	7
"GO:0003725"	"GO:0003725"	"double-stranded RNA binding"	"6/142"	"85/22669"	1.58250349779622e-05	0.000422754505839846	0.000340297744638885	"Hspd1/Hnrnpu/Eif4h/Hmgb1/Eif4a1/Tuba1b"	6
"GO:0090079"	"GO:0090079"	"translation regulator activity, nucleic acid binding"	"6/142"	"95/22669"	2.98764250575943e-05	0.000744918864769351	0.000599625092383998	"Eif4h/Eif4g2/Eef2/Eif4a1/Eif5a/Eif5"	6
"GO:0004386"	"GO:0004386"	"helicase activity"	"7/142"	"150/22669"	4.55227497926871e-05	0.00106409427640406	0.000856546476362402	"Mcm3/Mcm6/Mcm7/Mcm2/G3bp1/Eif4a1/Mcm4"	7
"GO:0008097"	"GO:0008097"	"5S rRNA binding"	"3/142"	"13/22669"	6.57303008098026e-05	0.00144606661781566	0.00116401647254511	"Rrs1/Eef2/Rpl3"	3
"GO:0003743"	"GO:0003743"	"translation initiation factor activity"	"4/142"	"47/22669"	0.000213544057847165	0.00426451981120468	0.00343274040530408	"Eif4h/Eif4g2/Eif4a1/Eif5"	4
"GO:0017116"	"GO:0017116"	"single-stranded DNA helicase activity"	"3/142"	"19/22669"	0.000216646728376708	0.00426451981120468	0.00343274040530408	"Mcm6/Mcm7/Mcm2"	3
"GO:0043138"	"GO:0043138"	"3'-5' DNA helicase activity"	"3/142"	"20/22669"	0.000253711384368379	0.00474440288768869	0.00381902399628192	"Mcm6/Mcm7/Mcm2"	3
"GO:0003727"	"GO:0003727"	"single-stranded RNA binding"	"5/142"	"93/22669"	0.000300096377145651	0.00534457357392732	0.00430213352700032	"Hnrnpu/Eif4h/Hmgb1/Cnbp/Hnrnpf"	5
"GO:0003779"	"GO:0003779"	"actin binding"	"10/142"	"434/22669"	0.000419486034459493	0.00713126258581139	0.00574033520839307	"Myo1b/Hnrnpu/Tmsb4x/Coro1c/Fscn1/Eef2/Tpm4/Tmod3/Tmod2/Myo6"	10
"GO:0003678"	"GO:0003678"	"DNA helicase activity"	"4/142"	"57/22669"	0.00045056225611581	0.00732653407770926	0.00589751969103532	"Mcm6/Mcm7/Mcm2/Mcm4"	4
"GO:0048027"	"GO:0048027"	"mRNA 5'-UTR binding"	"3/142"	"25/22669"	0.000500270704568698	0.00779588514619554	0.00627532550467752	"Ncl/Cct5/Rsl1d1"	3
"GO:0003714"	"GO:0003714"	"transcription corepressor activity"	"6/142"	"176/22669"	0.000861001233070604	0.0128805784467362	0.010368267480345	"Hnrnpu/Ctbp1/Trim28/Pa2g4/Mybbp1a/Gmnn"	6
"GO:0140097"	"GO:0140097"	"catalytic activity, acting on DNA"	"6/142"	"184/22669"	0.0010834551564591	0.0155850857121425	0.0125452702326844	"Mcm6/Mcm7/Mcm2/Pold1/Ptbp1/Mcm4"	6
"GO:0047485"	"GO:0047485"	"protein N-terminus binding"	"5/142"	"129/22669"	0.00132805181665322	0.0175382828173162	0.0141175031966013	"Ppp1cc/Phb2/Smarcc1/Npm1/Eif5a"	5
"GO:0008536"	"GO:0008536"	"Ran GTPase binding"	"3/142"	"35/22669"	0.00135992032540687	0.0175382828173162	0.0141175031966013	"Kpnb1/Rangap1/Ranbp1"	3
"GO:0036002"	"GO:0036002"	"pre-mRNA binding"	"3/142"	"35/22669"	0.00135992032540687	0.0175382828173162	0.0141175031966013	"Hnrnpu/Ptbp1/Hnrnpk"	3
"GO:0016634"	"GO:0016634"	"oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor"	"2/142"	"10/22669"	0.00169653680121436	0.0211501587884724	0.0170248956192038	"Acadl/Acaa1a"	2
"GO:0005525"	"GO:0005525"	"GTP binding"	"8/142"	"355/22669"	0.00182224063771773	0.0216012961388053	0.0173880402355708	"Rab3b/Ran/Fkbp4/Eef2/Rab4a/Eif5/Tuba1b/Tubb5"	8
"GO:0043531"	"GO:0043531"	"ADP binding"	"3/142"	"40/22669"	0.00200652876627713	0.0216012961388053	0.0173880402355708	"Vcp/Hspa8/Pkm"	3
"GO:0032550"	"GO:0032550"	"purine ribonucleoside binding"	"8/142"	"362/22669"	0.0020574105509344	0.0216012961388053	0.0173880402355708	"Rab3b/Ran/Fkbp4/Eef2/Rab4a/Eif5/Tuba1b/Tubb5"	8
"GO:0051015"	"GO:0051015"	"actin filament binding"	"6/142"	"210/22669"	0.00212013507905591	0.0216012961388053	0.0173880402355708	"Myo1b/Coro1c/Fscn1/Eef2/Tpm4/Myo6"	6
"GO:0017069"	"GO:0017069"	"snRNA binding"	"3/142"	"41/22669"	0.00215508446394986	0.0216012961388053	0.0173880402355708	"Hnrnpu/Snrnp70/Eif5a"	3
"GO:0032549"	"GO:0032549"	"ribonucleoside binding"	"8/142"	"365/22669"	0.0021652421854951	0.0216012961388053	0.0173880402355708	"Rab3b/Ran/Fkbp4/Eef2/Rab4a/Eif5/Tuba1b/Tubb5"	8
"GO:0140297"	"GO:0140297"	"DNA-binding transcription factor binding"	"8/142"	"365/22669"	0.0021652421854951	0.0216012961388053	0.0173880402355708	"Exosc9/Ctbp1/Fkbp4/Tcf12/Npm1/Hspa4/Gmnn/Ifrd1"	8
"GO:0001883"	"GO:0001883"	"purine nucleoside binding"	"8/142"	"366/22669"	0.00220215827754411	0.0216012961388053	0.0173880402355708	"Rab3b/Ran/Fkbp4/Eef2/Rab4a/Eif5/Tuba1b/Tubb5"	8
"GO:0031072"	"GO:0031072"	"heat shock protein binding"	"5/142"	"146/22669"	0.00228738624972282	0.0216012961388053	0.0173880402355708	"Fkbp4/Hspa8/Kpnb1/Hnrnpk/Hspa9"	5
"GO:0005547"	"GO:0005547"	"phosphatidylinositol-3,4,5-trisphosphate binding"	"3/142"	"42/22669"	0.00231029905227864	0.0216012961388053	0.0173880402355708	"Myo1b/Npm1/Racgap1"	3
"GO:0008094"	"GO:0008094"	"DNA-dependent ATPase activity"	"4/142"	"90/22669"	0.00248566373868894	0.0226741033724309	0.01825160023787	"Mcm6/Mcm7/Mcm2/Mcm4"	4
"GO:0001882"	"GO:0001882"	"nucleoside binding"	"8/142"	"375/22669"	0.00255717237213509	0.0227710111232982	0.0183296064769583	"Rab3b/Ran/Fkbp4/Eef2/Rab4a/Eif5/Tuba1b/Tubb5"	8
"GO:0019001"	"GO:0019001"	"guanyl nucleotide binding"	"8/142"	"379/22669"	0.00272867795295505	0.0231937626001179	0.0186699017833766	"Rab3b/Ran/Fkbp4/Eef2/Rab4a/Eif5/Tuba1b/Tubb5"	8
"GO:0032561"	"GO:0032561"	"guanyl ribonucleotide binding"	"8/142"	"379/22669"	0.00272867795295505	0.0231937626001179	0.0186699017833766	"Rab3b/Ran/Fkbp4/Eef2/Rab4a/Eif5/Tuba1b/Tubb5"	8
"GO:0005523"	"GO:0005523"	"tropomyosin binding"	"2/142"	"14/22669"	0.00337487409916106	0.0280489536241386	0.0225781050844459	"Tmod3/Tmod2"	2
"GO:0016725"	"GO:0016725"	"oxidoreductase activity, acting on CH or CH2 groups"	"2/142"	"15/22669"	0.00387814488696141	0.0315310040809471	0.0253809939970472	"Rrm1/Rrm2"	2
"GO:0005092"	"GO:0005092"	"GDP-dissociation inhibitor activity"	"2/142"	"16/22669"	0.00441403125754263	0.0336907691902234	0.0271195046113253	"Eif5/Ranbp1"	2
"GO:0005521"	"GO:0005521"	"lamin binding"	"2/142"	"16/22669"	0.00441403125754263	0.0336907691902234	0.0271195046113253	"Ppp1cc/Hnrnpk"	2
"GO:0043024"	"GO:0043024"	"ribosomal small subunit binding"	"2/142"	"16/22669"	0.00441403125754263	0.0336907691902234	0.0271195046113253	"Eif4h/Npm1"	2
"GO:0003746"	"GO:0003746"	"translation elongation factor activity"	"2/142"	"17/22669"	0.00498211071066678	0.0372661881157875	0.0299975508052779	"Eef2/Eif5a"	2
"GO:0016627"	"GO:0016627"	"oxidoreductase activity, acting on the CH-CH group of donors"	"3/142"	"57/22669"	0.00549994603694506	0.0401472076096442	0.0323166377043575	"Acadl/Dhcr7/Acaa1a"	3
"GO:0008199"	"GO:0008199"	"ferric iron binding"	"2/142"	"18/22669"	0.00558196469438903	0.0401472076096442	0.0323166377043575	"Trf/Rrm2"	2
"GO:0042288"	"GO:0042288"	"MHC class I protein binding"	"2/142"	"19/22669"	0.00621317857274343	0.0438439393623782	0.0352923350904592	"Vcp/Tubb5"	2
"GO:0043274"	"GO:0043274"	"phospholipase binding"	"2/142"	"20/22669"	0.00687534159367399	0.0476181065932236	0.0383303644403657	"Srsf3/Lmnb1"	2
