"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0022613"	"GO:0022613"	"ribonucleoprotein complex biogenesis"	"24/243"	"409/23328"	9.72229888658332e-12	1.67836874015669e-08	1.36622680999687e-08	"Rrs1/Ncl/Rpl35/Rps21/Exosc9/Exosc8/Rps27/Cdkn2a/Lyar/Ran/Eif4h/Emg1/Strap/Rps19/Pa2g4/Rps27l/Npm1/Mybbp1a/Rpl38/Eif5/Rpl3/Rsl1d1/Rps28/Lsm2"	24
"GO:0002181"	"GO:0002181"	"cytoplasmic translation"	"13/243"	"91/23328"	1.15114454057386e-11	1.67836874015669e-08	1.36622680999687e-08	"Rps21/Rpl39/Eif4h/Cnbp/Eef2/Pkm/Tma7/Eif4a1/Rpl38/Rps29/Eif5/Rps28/Rpl9-ps6"	13
"GO:0042254"	"GO:0042254"	"ribosome biogenesis"	"20/243"	"296/23328"	4.61001577819692e-11	4.4809353364074e-08	3.64757388766107e-08	"Rrs1/Ncl/Rpl35/Rps21/Exosc9/Exosc8/Rps27/Cdkn2a/Lyar/Ran/Emg1/Rps19/Pa2g4/Rps27l/Npm1/Mybbp1a/Rpl38/Rpl3/Rsl1d1/Rps28"	20
"GO:1904851"	"GO:1904851"	"positive regulation of establishment of protein localization to telomere"	"6/243"	"10/23328"	2.43592510865113e-10	1.77578940420668e-07	1.44552924210745e-07	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:0070203"	"GO:0070203"	"regulation of establishment of protein localization to telomere"	"6/243"	"11/23328"	5.31238342724776e-10	3.09818201477089e-07	2.52198413230394e-07	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:0070202"	"GO:0070202"	"regulation of establishment of protein localization to chromosome"	"6/243"	"12/23328"	1.05322890606576e-09	5.1186924834796e-07	4.16672137399701e-07	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:1904816"	"GO:1904816"	"positive regulation of protein localization to chromosome, telomeric region"	"6/243"	"13/23328"	1.93897408740145e-09	8.07721205551802e-07	6.57501739412069e-07	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:1904814"	"GO:1904814"	"regulation of protein localization to chromosome, telomeric region"	"6/243"	"15/23328"	5.55735756290243e-09	2.02565683167794e-06	1.64892648741381e-06	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:0071824"	"GO:0071824"	"protein-DNA complex subunit organization"	"15/243"	"214/23328"	7.97741810388287e-09	2.57028605018715e-06	2.0922659169634e-06	"Mcm3/Ptma/Hjurp/Mcm6/Set/Hat1/Anp32e/Itgb3bp/Nasp/Mcm7/Mcm2/Nap1l1/Smarcc1/Npm1/Mcm4"	15
"GO:0070200"	"GO:0070200"	"establishment of protein localization to telomere"	"6/243"	"16/23328"	8.81442404042232e-09	2.57028605018715e-06	2.0922659169634e-06	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:0072594"	"GO:0072594"	"establishment of protein localization to organelle"	"20/243"	"426/23328"	2.48153195712976e-08	6.5783156245367e-06	5.35488474959579e-06	"Hspd1/Cct3/Cdkn2a/Atpif1/Ran/Cct7/Phb2/Trim28/Bax/Ndufa13/Hspa8/Myo6/Srprb/Sec61g/Cct4/Hspa4/Kpnb1/Cct5/Cct8/Tcp1"	20
"GO:0006364"	"GO:0006364"	"rRNA processing"	"14/243"	"206/23328"	3.75037347067473e-08	8.42148299005795e-06	6.85526104345559e-06	"Rrs1/Ncl/Rpl35/Rps21/Exosc9/Exosc8/Cdkn2a/Lyar/Emg1/Rps19/Pa2g4/Npm1/Rsl1d1/Rps28"	14
